Numbs,School Year,Totals Female: Asians (Tot. F),Totals Female: Black/African American (Tot. F),Totals Female: Hispanics of any race (Tot. F),Totals Female: American Indian/Alaska Native (Tot. F),Totals Female: Native Hawaiian/Other Pacific Islander (Tot. F),Totals Female: Two or more races (Tot. F),Totals Female: White (Tot. F)
0,2013-2014,4,,2,,,,4
1,2014-2015,3,7,8,1,,4,42
2,2013-2014,2,1,2,,,1,4
3,2014-2015,6,,7,,1,4,30
4,2013-2014,2,2,,,,,3
5,2014-2015,2,8,14,1,,4,34
6,2007-2008,5,3,4,4,,6,16
7,2008-2009,10,1,2,4,,3,18
8,2009-2010,15,1,3,3,,4,24
9,2010-2011,11,3,7,3,1,2,31
10,2011-2012,11,3,10,3,,3,36
11,2012-2013,19,9,17,3,,4,52
12,2013-2014,32,6,25,3,,11,53
13,2014-2015,46,13,35,,1,17,67
14,2007-2008,7,3,7,3,,3,10
15,2008-2009,5,4,3,1,,1,12
16,2009-2010,2,3,3,,,5,16
17,2010-2011,4,4,6,1,,4,12
18,2011-2012,8,4,4,1,,2,17
19,2012-2013,8,1,6,,,3,15
20,2013-2014,4,2,6,,,2,22
21,2014-2015,5,4,11,1,,3,21
22,2007-2008,6,4,11,4,,2,32
23,2008-2009,4,1,10,5,,5,37
24,2009-2010,8,2,8,4,,3,27
25,2010-2011,8,1,13,2,,2,33
26,2011-2012,12,3,17,,,2,31
27,2012-2013,14,3,20,,,3,31
28,2013-2014,16,1,24,2,,6,33
29,2014-2015,14,,24,2,,9,40
30,2014-2015,2,2,2,0,0,0,4
31,2013-2014,,,1,,,1,2
32,2014-2015,1,1,4,1,,1,3
33,2011-2012,,,,2,,,3
34,2012-2013,,,5,1,,1,4
35,2013-2014,,1,5,,,3,8
36,2014-2015,3,9,20,1,,4,42
37,2004-2005,,,,,,,
38,2005-2006,,,,,,,
39,2006-2007,,,,,,,
40,2007-2008,,,,,,,
41,2008-2009,,,,,,,
42,2009-2010,,,,,,,
43,2010-2011,,,,,,,
44,2011-2012,,,,,,,
45,2004-2005,,,,,,,
46,2005-2006,,,,,,,
47,2006-2007,,,,,,,
48,2007-2008,,,,,,,
49,2008-2009,,,,,,,
50,2009-2010,,,,,,,
51,2010-2011,,,,,,,
52,2011-2012,,,,,,,
53,2004-2005,,,,,,,
54,2005-2006,,,,,,,
55,2006-2007,,,,,,,
56,2007-2008,,,,,,,
57,2008-2009,,,,,,,
58,2009-2010,,,,,,,
59,2010-2011,,,,,,,
60,2011-2012,,,,,,,
61,2004-2005,,,,,,,
62,2005-2006,,,,,,,
63,2006-2007,,,,,,,
64,2007-2008,,,,,,,
65,2008-2009,,,,,,,
66,2009-2010,,,,,,,
67,2010-2011,,,,,,,
68,2011-2012,,,,,,,
69,2004-2005,,,,,,,
70,2005-2006,,,,,,,
71,2006-2007,,,,,,,
72,2007-2008,,,,,,,
73,2008-2009,,,,,,,
74,2009-2010,,,,,,,
75,2010-2011,,,,,,,
76,2011-2012,,,,,,,
77,2004-2005,,,,,,,
78,2005-2006,,,,,,,
79,2006-2007,,,,,,,
80,2007-2008,,,,,,,
81,2008-2009,,,,,,,
82,2009-2010,,,,,,,
83,2010-2011,,,,,,,
84,2011-2012,,,,,,,
85,2004-2005,,,,,,,
86,2005-2006,,,,,,,
87,2006-2007,,,,,,,
88,2007-2008,,,,,,,
89,2008-2009,,,,,,,
90,2009-2010,,,,,,,
91,2010-2011,,,,,,,
92,2011-2012,,,,,,,
93,2004-2005,,,,,,,
94,2005-2006,,,,,,,
95,2006-2007,,,,,,,
96,2007-2008,,,,,,,
97,2008-2009,,,,,,,
98,2009-2010,,,,,,,
99,2010-2011,,,,,,,
100,2011-2012,,,,,,,
101,2015-2016,,,,,,,
102,2007-2008,,,,,,,
103,2008-2009,,,,,,,
104,2009-2010,,,,,,,
105,2010-2011,,,,,,,
106,2011-2012,,,,,,,
107,2004-2005,,,,,,,
108,2005-2006,,,,,,,
109,2006-2007,,,,,,,
110,2007-2008,,,,,,,
111,2008-2009,,,,,,,
112,2009-2010,,,,,,,
113,2010-2011,,,,,,,
114,2011-2012,,,,,,,
115,2007-2008,,,,,,,
116,2008-2009,,,,,,,
117,2009-2010,,,,,,,
118,2010-2011,,,,,,,
119,2011-2012,,,,,,,
120,2007-2008,,,,,,,
121,2008-2009,,,,,,,
122,2009-2010,,,,,,,
123,2010-2011,,,,,,,
124,2011-2012,,,,,,,
125,2004-2005,,,,,,,
126,2005-2006,,,,,,,
127,2006-2007,,,,,,,
128,2007-2008,1,0,0,0,0,0,3
129,2008-2009,1,0,0,0,0,0,0
130,2009-2010,0,0,0,0,0,1,1
131,2010-2011,0,0,1,0,0,1,3
132,2011-2012,2,1,1,0,0,0,4
133,2012-2013,6,0,1,0,0,4,6
134,2013-2014,6,0,1,0,0,5,12
135,2014-2015,12,1,1,0,0,2,16
136,2015-2016,10,2,1,0,0,2,14
137,2007-2008,3,0,0,0,0,0,8
138,2008-2009,4,0,0,0,0,0,4
139,2009-2010,2,0,0,0,0,1,6
140,2010-2011,1,1,0,0,0,1,6
141,2011-2012,3,1,0,0,0,0,8
142,2015-2016,22,2,1,0,0,7,29
143,2012-2013,5,0,0,0,0,0,13
144,2014-2015,10,1,0,0,0,5,12
145,2013-2014,5,1,0,0,0,3,13
146,2007-2008,,,,,,,
147,2008-2009,,,,,,,
148,2009-2010,,,,,,,
149,2010-2011,,,,,,,
150,2011-2012,,,,,,,
151,2013-2014,5,1,0,0,0,3,13
152,2007-2008,,,,,,,
153,2008-2009,,,,,,,
154,2009-2010,,,,,,,
155,2010-2011,,,,,,,
156,2011-2012,,,,,,,
157,2007-2008,,,,,,,
158,2008-2009,,,,,,,
159,2009-2010,,,,,,,
160,2010-2011,,,,,,,
161,2011-2012,,,,,,,
162,2015-2016,4,0,4,0,0,3,12
163,2004-2005,,,,,,,
164,2005-2006,,,,,,,
165,2006-2007,,,,,,,
166,2007-2008,,,,,,,
167,2008-2009,,,,,,,
168,2009-2010,,,,,,,
169,2010-2011,,,,,,,
170,2011-2012,,,,,,,
171,2004-2005,,,,,,,
172,2005-2006,,,,,,,
173,2006-2007,,,,,,,
174,2007-2008,,,,,,,
175,2008-2009,,,,,,,
176,2009-2010,,,,,,,
177,2010-2011,,,,,,,
178,2011-2012,,,,,,,
179,2005-2006,17,1,3,1,0,3,16
180,2006-2007,,,,,,,
181,2007-2008,,,,,,,
182,2008-2009,,,,,,,
183,2009-2010,,,,,,,
184,2004-2005,,,,,,,
185,2010-2011,,,,,,,
186,2011-2012,,,,,,,
187,2004-2005,,,,,,,
188,2005-2006,,,,,,,
189,2006-2007,,,,,,,
190,2007-2008,,,,,,,
191,2008-2009,,,,,,,
192,2009-2010,,,,,,,
193,2010-2011,,,,,,,
194,2011-2012,,,,,,,
195,2004-2005,,,,,,,
196,2005-2006,,,,,,,
197,2006-2007,,,,,,,
198,2007-2008,,,,,,,
199,2008-2009,,,,,,,
200,2009-2010,,,,,,,
201,2010-2011,,,,,,,
202,2011-2012,,,,,,,
203,2004-2005,,,,,,,
204,2005-2006,,,,,,,
205,2006-2007,,,,,,,
206,2007-2008,,,,,,,
207,2008-2009,,,,,,,
208,2009-2010,,,,,,,
209,2010-2011,,,,,,,
210,2011-2012,,,,,,,
211,2004-2005,,,,,,,
212,2005-2006,,,,,,,
213,2006-2007,,,,,,,
214,2007-2008,,,,,,,
215,2008-2009,,,,,,,
216,2009-2010,,,,,,,
217,2010-2011,,,,,,,
218,2011-2012,,,,,,,
219,2004-2005,2,6,5,0,0,0,1
220,2015-2016,10,6,16,0,0,2,2
221,2004-2005,0,0,0,0,0,0,0
222,2015-2016,7,9,17,0,0,0,4
223,2010-2011,6,6,35,0,0,2,17
224,2011-2012,8,8,38,0,0,2,19
225,2012-2013,15,12,37,0,0,1,12
226,2013-2014,18,10,31,0,0,2,11
227,2014-2015,13,8,28,0,0,6,7
228,2010-2011,14,3,17,0,0,2,3
229,2011-2012,19,2,15,0,0,3,2
230,2012-2013,20,2,23,0,0,0,1
231,2013-2014,27,2,26,0,0,1,3
232,2014-2015,19,2,20,0,1,2,2
233,2015-2016,13,0,10,0,0,2,1
234,2010-2011,25,3,29,0,4,0,7
235,2011-2012,31,3,22,0,2,2,7
236,2012-2013,50,2,18,0,0,2,15
237,2013-2014,48,2,20,0,0,5,13
238,2014-2015,69,5,22,0,0,8,17
239,2015-2016,43,2,18,0,0,5,8
240,2015-2016,1,0,0,,,1,7
241,2015-2016,,,,,,,
242,2015-2016,0,0,2,0,1,2,20
243,2004-2005,,,,,,,
244,2005-2006,,,,,,,
245,2006-2007,,,,,,,
246,2007-2008,,,,,,,
247,2008-2009,,,,,,,
248,2009-2010,,,,,,,
249,2010-2011,,,,,,,
250,2011-2012,,,,,,,
251,2015-2016,96,2,0,0,0,6,30
252,2004-2005,,,,,,,
253,2005-2006,,,,,,,
254,2006-2007,,,,,,,
255,2007-2008,,,,,,,
256,2008-2009,,,,,,,
257,2009-2010,,,,,,,
258,2004-2005,,,,,,,
259,2005-2006,,,,,,,
260,2006-2007,,,,,,,
261,2007-2008,,,,,,,
262,2008-2009,,,,,,,
263,2009-2010,,,,,,,
264,2010-2011,,,,,,,
265,2011-2012,,,,,,,
266,2004-2005,,,,,,,
267,2005-2006,,,,,,,
268,2006-2007,,,,,,,
269,2007-2008,,,,,,,
270,2008-2009,,,,,,,
271,2009-2010,,,,,,,
272,2010-2011,,,,,,,
273,2011-2012,7,3,2,0,0,0,8
274,2012-2013,6,4,1,0,0,0,10
275,2013-2014,18,2,2,0,0,0,18
276,2014-2015,28,4,9,0,0,0,19
277,2015-2016,37,5,15,0,0,0,24
278,2007-2008,,,,,,,
279,2008-2009,,,,,,,
280,2009-2010,,,,,,,
281,2007-2008,,,,,,,
282,2008-2009,,,,,,,
283,2009-2010,,,,,,,
284,2007-2008,,,,,,,
285,2008-2009,,,,,,,
286,2009-2010,,,,,,,
287,2007-2008,,,,,,,
288,2010-2011,,,,,,,
289,2011-2012,,,,,,,
290,2011-2012,,,,,,,
291,2010-2011,,,,,,,
292,2011-2012,,,,,,,
293,2010-2011,,,,,,,
294,2011-2012,,,,,,,
295,2015-2016,2,2,3,0,0,0,16
296,2014-2015,2,2,3,0,0,0,16
297,2004-2005,,,,,,,
298,2005-2006,,,,,,,
299,2006-2007,,,,,,,
300,2007-2008,,,,,,,
301,2008-2009,,,,,,,
302,2009-2010,,,,,,,
303,2010-2011,,,,,,,
304,2011-2012,,,,,,,
305,2005-2006,0,0,0,2,0,0,20
306,2006-2007,0,0,0,0,0,0,22
307,2007-2008,0,0,0,0,0,1,15
308,2008-2009,,,,,,,
309,2009-2010,,,,,,,
310,2010-2011,,2,,,,3,4
311,2011-2012,0,1,0,0,0,5,4
312,2012-2013,0,1,0,0,0,,5
313,2013-2014,0,0,0,0,0,,9
314,2007-2008,,,,,,,
315,2008-2009,,,,,,,
316,2009-2010,,,,,,,
317,2004-2005,,,,,,,
318,2005-2006,,,,,,,
319,2006-2007,,,,,,,
320,2007-2008,,,,,,,
321,2008-2009,,,,,,,
322,2009-2010,,,,,,,
323,2010-2011,,,,,,,
324,2011-2012,,,,,,,
325,2004-2005,,,,,,,
326,2005-2006,,,,,,,
327,2006-2007,,,,,,,
328,2007-2008,,,,,,,
329,2008-2009,,,,,,,
330,2009-2010,,,,,,,
331,2010-2011,,,,,,,
332,2011-2012,,,,,,,
333,2010-2011,12,0,2,0,0,0,9
334,2011-2012,18,0,4,0,0,1,10
335,2012-2013,24,0,4,0,0,2,16
336,2013-2014,49,1,4,0,0,4,28
337,2014-2015,62,3,6,0,0,7,37
338,2014-2015,6,0,1,0,0,1,10
339,2010-2011,2,0,1,0,0,1,3
340,2011-2012,1,0,0,0,0,1,1
341,2012-2013,1,1,1,0,0,2,3
342,2013-2014,5,0,1,0,0,0,8
343,2010-2011,4,0,2,0,0,1,8
344,2011-2012,4,0,2,0,0,1,13
345,2012-2013,6,1,3,0,0,1,12
346,2013-2014,11,1,3,0,0,1,7
347,2014-2015,18,1,4,0,0,3,10
348,2011-2012,,,,,,,
349,2012-2013,,,,,,,
350,2013-2014,,,,,,,
351,2014-2015,,,,,,,
352,2015-2016,,,,,,,
353,2011-2012,,,,,,,
354,2012-2013,,,,,,,
355,2013-2014,,,,,,,
356,2014-2015,,,,,,,
357,2015-2016,,,,,,,
358,2015-2016,,,,,,,
359,2014-2015,,,,,,,
360,2013-2014,,,,,,,
361,2012-2013,,,,,,,
362,2011-2012,,,,,,,
363,2011-2012,,,,,,,
364,2012-2013,,,,,,,
365,2013-2014,,,,,,,
366,2014-2015,,,,,,,
367,2015-2016,0,0,0,0,0,0,0
368,2004-2005,,,,,,,
369,2005-2006,,,,,,,
370,2006-2007,,,,,,,
371,2007-2008,,,,,,,
372,2008-2009,,,,,,,
373,2009-2010,,,,,,,
374,2010-2011,,,,,,,
375,2011-2012,,,,,,,
376,2015-2016,,,,,,,
377,2012-2013,,,,,,,
378,2013-2014,,,,,,,
379,2014-2015,,,,,,,
380,2004-2005,,,,,,,
381,2005-2006,,,,,,,
382,2006-2007,,,,,,,
383,2007-2008,,,,,,,
384,2008-2009,,,,,,,
385,2009-2010,,,,,,,
386,2010-2011,,,,,,,
387,2015-2016,,,,,,,
388,2013-2014,,,,,,,
389,2014-2015,,,,,,,
390,2012-2013,,,,,,,
391,2011-2012,,,,,,,
392,2015-2016,,,,,,,
393,2014-2015,,,,,,,0
394,2013-2014,,,,,,,
395,2012-2013,,,,,,,
396,2011-2012,,,,,,,
397,2015-2016,,,,,,,
398,2011-2012,,,,,,,
399,2012-2013,,,,,,,
400,2013-2014,,,,,,,
401,2014-2015,,,,,,,
402,2013-2014,2,1,2,0,0,1,14
